"BOC","OC","BOCDescription"
"1116","11","REEMPLOYED ANNUITANTS REIMB"
"1117","11","SATURDAY PREMIUM PAY"
"1118","11","PREMIUM PAY/OT"
"1119","11","EMPLOYEE SPECIAL PAY"
"1120","11","GEOGRAPHIC PAY"
"1121","11","RECRUITMENT BONUS"
"1122","11","RETENTION ALLOWANCE"
"1123","11","HAZARD PAY DIFFERENTIAL"
"1124","11","STAFFING DIFFERENTIAL"
"1125","11","SUPERVISORY DIFFERENTIAL"
"1126","11","RELOCATION BONUS"
"1127","11","PHYSICIAN COMPAR. ALLOWANCE"
"1128","11","INCENTIVE AWARDS CASH/NONCASH"
"1130","11","LOCALITY PAY"
"1131","11","CREDIT REFORM, VACO ONLY"
"1132","11","ADVANCED FED EMPL HEALTH FEHB"
"1133","11","EMP AWARD PGM-RES,FEE,WOC,P&H"
"1134","11","TRAVEL SAVINGS AWARD PROGRAM"
"1136","11","REPAYMENT OF ADVANCED FEHB"
"1137","11","RECOUP ADV FEHB FROM CARRIERS"
"1138","11","RESERVIST DIFFER PAY/INTEREST"
"1140","11","CLEAR SPECIAL PAY TRANSACTIONS"
"1150","11","PERFORMANCE AWARDS"
"1151","11","EXECUTIVE SPECIAL PAY"
"1153","11","DEC EMERGENCY INCREMENTAL PAY"
"1154","11","WEEKEND PREMIUM PAY"
"1201","12","BENEFITS, CANTEEN SVC(FMS INT)"
"1203","12","QS&LALLOW WOC EMP"
"1204","12","OWCP PAYMENTS"
"1205","12","UNIFORM ALLOWANCES"
"1206","12","UNFUND FED EMPLYEE RETIREMT SY"
"1207","12","UNFUND POSTRETIREMENT PENS CSR"
"1208","12","SUBSISTENCE & TEMP EXPENSES"
"1209","12","REAL ESTATE EXPENSES"
"1210","12","RELOCATION INC & W/H TAX"
"1211","12","U/F POSTRETIRE ORB, FEHIB"
"1212","12","FEGLI VA SHARE"
"1213","12","U/F POSTRETIRE ORB, FEGLI"
"1214","12","OASDI EMPLOYERS TAX"
"1215","12","FSA PRGM DEPENDT CARE ADM FEES"
"1216","12","CIVIL SERVICE RET VA SHARE"
